"Category","Subcategory","Test Case ID","Question Type","User Question","Expected Answer","Chatbot Answer"
"General / Club Information","General Information","I'm Augustus Cruz Whiting's assistant here at the club. I can help you with:

Your Account
• Your balance and open items
• Your upcoming bookings and sessions
• Your household's schedule
• Your attendance history

What's On
• Classes, camps, and programs running today, this week, or any day ahead
• Where they're held and what times
• How many spaces are available
• Who's teaching them

Court Availability
• When courts are free to book
• What's scheduled and when

I can look up availability, check your details, and answer questions about what the club offers. I can't book or cancel sessions yet — that's through the front desk or the booking system — but I can tell you exactly what's available so you know what to ask for.

What would you like to know?","Initial","I want to know about Sportme club can you explain what are the Sports activity conducted here?","",""
"General / Club Information","General Information","I'm here to help with questions about your account, the club's schedule, and what's available. Just ask me anything about:

• Your bookings — what you have coming up, your balance, packages
• Classes and camps — what's on, when, where, and how full they are
• Court availability — when courts are free
• Instructors — who teaches what
• Pricing — what things cost

What can I help you with today?","Direct","for trial session?","",""
"General / Club Information","General Information","I'm ready to help! What would you like to know about your account, the club's schedule, or what's available?","Follow-up / Specific","What information do I need to provide when signing up for the trial session?","",""
"General / Club Information","General Information","I'm here to help with any questions about your account, bookings, the club's schedule, classes, camps, courts, or pricing. What would you like to know?","Direct","Tell me more about (781) 326-0808","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Follow-up / Specific","Who teaches it?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Follow-up / Specific","How much does it cost?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Direct","ok fine","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Initial / Direct","What single-day guest pass options?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Direct","Whether multiple people can come at the same time?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Initial / Direct","Can multiple family members check in at the same time?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Direct","Any limits on how many people can use it together in family membership?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Direct","how your to showing alert messages to club portal?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Direct","means?","",""
"Soccer / Football","Program Information","ERROR: Response timeout or element not found","Direct","Are you sure this?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Follow-up / Specific","Who teaches it?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Follow-up / Specific","when it started ?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Follow-up / Specific","This is not answer what i asked? actually when since started?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Challenge / Validation","how you dont know about detaithat?","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Follow-up / Specific","hs's age and basically he","",""
"General / Club Information","General Information","ERROR: Response timeout or element not found","Challenge / Validation","are you sure?","",""
"Fitness / Yoga","Class Information","ERROR: Response timeout or element not found","Direct","What kind of fitness classes do you have?","",""
"Fitness / Yoga","Class Information","ERROR: Response timeout or element not found","Direct","what are the typres of yoga is conducted ?","",""
"Fitness / Yoga","Age Requirement","ERROR: Response timeout or element not found","Direct","What is the age limits for yoga classes from starting age to ?","",""
"Fitness / Yoga","Beginner Suitability","ERROR: Response timeout or element not found","Direct","Which yoga class do you recommend for beginners?","",""
"Fitness / Yoga","Beginner Suitability","ERROR: Response timeout or element not found","Follow-up / Specific","When is the next beginner-friendly yoga class?","",""
"Fitness / Yoga","Beginner Suitability","ERROR: Response timeout or element not found","Direct","Which of these beginner-friendly yoga classes would you recommend for someone with no prior experience?","",""
"Fitness / Yoga","Beginner Suitability","ERROR: Response timeout or element not found","Follow-up / Specific","Are Band Strength and H.I.I.T. classes suitable for beginners?","",""
"Fitness / Yoga","Beginner Suitability","ERROR: Response timeout or element not found","Follow-up / Specific","Is the Band Strength and H.I.I.T. class suitable for beginners?","",""
"Fitness / Yoga","Beginner Suitability","ERROR: Response timeout or element not found","Direct","What beginner-friendly alternative would you recommend instead?","",""
"Tennis","Pricing","ERROR: Response timeout or element not found","Follow-up / Specific","What are the dates and pricing for the Tennis Camp?","",""
"Tennis","Age / Ball Type","ERROR: Response timeout or element not found","Direct","What is the age requirement for the Red Ball Tennis Camp?","",""
"Tennis","Age / Ball Type","ERROR: Response timeout or element not found","Direct","What age group is the Red Ball Tennis Camp suitable for?","",""
"Tennis","Age / Ball Type","ERROR: Response timeout or element not found","Direct","What age range is the Red Ball Tennis Camp designed for?","",""
"Tennis","Age / Ball Type","ERROR: Response timeout or element not found","Direct","Can I call the club to find out the age requirements for Red Ball Tennis Camp?","",""
"Tennis","Age / Ball Type","ERROR: Response timeout or element not found","Follow-up / Specific","What information can the club provide when I call about the Red Ball Tennis Camp?","",""
"Tennis","Age / Ball Type","ERROR: Response timeout or element not found","Follow-up / Specific","What can I find out when I call the club about the Red Ball Tennis Camp?","",""
"Tennis","Age / Ball Type","ERROR: Response timeout or element not found","Direct","Which tennis ball type is suitable for my child?","",""
"Tennis","Age / Ball Type","ERROR: Response timeout or element not found","Direct","My child is 6 years old�which tennis ball type or program do you offer for that age?","",""
"Tennis","Schedule / Duration","ERROR: Response timeout or element not found","Follow-up / Specific","What time is Tennis Camp on?","",""
"Tennis","Schedule / Duration","ERROR: Response timeout or element not found","Direct","What days is Tennis Camp on?","",""
"Tennis","Program Information","ERROR: Response timeout or element not found","Initial","I need to know about ?Tennis","",""
"Tennis","Schedule / Duration","ERROR: Response timeout or element not found","Follow-up / Specific","What time is Tennis Camp on?","",""
"Tennis","Coach / Instructor","ERROR: Response timeout or element not found","Direct","Do you have tennis coaching for beginners?","",""
"Tennis","Program Information","ERROR: Response timeout or element not found","Follow-up / Specific","Then what maximum details you can give about tennis class?","",""
"Swimming","Program Information","ERROR: Response timeout or element not found","Follow-up / Specific","What about swimming?","",""
"Swimming","Program Information","ERROR: Response timeout or element not found","Follow-up / Specific","When will the next session of swimming lessons be offered?","",""
"Swimming","Program Information","ERROR: Response timeout or element not found","Follow-up / Specific","Can you notify me when the next round of swimming lessons is open for registration?","",""
"Swimming","Program Information","ERROR: Response timeout or element not found","Direct","Swimming","",""
"Swimming","Waterbabies","ERROR: Response timeout or element not found","Direct","Waterbabies - Summer (ages 0�2)? means","",""
"Swimming","Waterbabies","ERROR: Response timeout or element not found","Follow-up / Specific","when your conducting Waterbabies - Summer (ages 0�2) this any specific seasons?","",""
"Swimming","Waterbabies","ERROR: Response timeout or element not found","Direct","Before your conduting this Waterbabies - Summer (ages 0�2)? you people conduct any medical checkups to the babies?","",""
"Swimming","Waterbabies","ERROR: Response timeout or element not found","Direct","I am taliking about Waterbabies - Summer (ages 0�2)?","",""
"Swimming","Program Information","ERROR: Response timeout or element not found","Direct","Ok tell me more about swimming for all categaries?","",""
"Swimming","Schedule / Duration","ERROR: Response timeout or element not found","Challenge / Validation","why? Aqua DanceDuration: Not listed","",""
"Swimming","Accessibility","ERROR: Response timeout or element not found","Initial","Ok any diablelity have access to swimming classes?","",""
"Swimming","Accessibility","ERROR: Response timeout or element not found","Follow-up / Specific","there are handles disability access for swimming?","",""
"Swimming","Accessibility","ERROR: Response timeout or element not found","Direct","physically disability people can access for swimming?","",""
"Basketball","Program Information","ERROR: Response timeout or element not found","Follow-up / Specific","what about Basketball?","",""
"Basketball","Program Information","ERROR: Response timeout or element not found","Direct","in teature any plan to conduct basketball?","",""
"Basketball","Schedule / Duration","ERROR: Response timeout or element not found","Direct","Are there any plans to add basketball to the schedule at the Dedham club?","",""
"Basketball","Schedule / Duration","ERROR: Response timeout or element not found","Follow-up / Specific","When will the fall basketball schedule for Dedham Girls Basketball and TSC Kids Activities be released?","",""
"Basketball","Schedule / Duration","ERROR: Response timeout or element not found","Direct","Is there a notification list I can join to receive updates about the fall basketball schedule?","",""
"Basketball","Schedule / Duration","ERROR: Response timeout or element not found","Follow-up / Specific","What time is fall basketball on?","",""
"Basketball","Pricing / Membership","ERROR: Response timeout or element not found","Direct","cost of basketball?","",""
"Basketball","Program Information","ERROR: Response timeout or element not found","Direct","To explore other options while waiting for basketball","",""
"Basketball","Program Information","ERROR: Response timeout or element not found","Challenge / Validation","Are you sure there is no basketball details?","",""
"Basketball","Program Information","ERROR: Response timeout or element not found","Follow-up / Specific","but you showed this ? Programs Offered: Dedham Girls Basketball (4th & 6th grade) and TSC Kids Activities - Basketball.","",""
"Basketball","Schedule / Duration","ERROR: Response timeout or element not found","Follow-up / Specific","What date will the fall basketball schedule be posted?","",""
"Basketball","Program Information","ERROR: Response timeout or element not found","Follow-up / Specific","but you showed this ? Programs Offered: Dedham Girls Basketball (4th & 6th grade) and TSC Kids Activities - Basketball.?","",""
"Basketball","Pricing / Membership","ERROR: Response timeout or element not found","Follow-up / Specific","but youre showing these options too whay? What time is Dedham Girls Basketball on?Where is it held?How much does it cost?","",""
"Basketball","Program Information","ERROR: Response timeout or element not found","Initial","So finally Your Sportme club offering Basketball?","",""
"Basketball","Schedule / Duration","ERROR: Response timeout or element not found","Follow-up / Specific","What time is Basketball League on?","",""
"Basketball","Program Information","ERROR: Response timeout or element not found","Direct","any other details regarding to the basketball?","",""
"Basketball","Program Information","ERROR: Response timeout or element not found","Follow-up / Specific","How many  Kids to join Basketball?","",""
"Basketball","Schedule / Duration","ERROR: Response timeout or element not found","Follow-up / Specific","History about  basketball?","",""
