Category,Subcategory,Test Case ID,Question Type,User Question,Expected Answer,Chatbot Answer,Relevance,Status,Pass and Failure Reason
General / Club Information,General Information,TC-001,Initial ,I want to know about Sportme club can you explain what are the Sports activity conducted here?,,,,,
General / Club Information,General Information,TC-002,Direct,for trial session?,,,,,
General / Club Information,General Information,TC-003,Follow-up / Specific,What information do I need to provide when signing up for the trial session?,,,,,
General / Club Information,General Information,TC-004,Direct,Tell me more about (781) 326-0808,,,,,
General / Club Information,General Information,TC-005,Follow-up / Specific,Who teaches it?,,,,,
General / Club Information,General Information,TC-006,Follow-up / Specific,How much does it cost?,,,,,
General / Club Information,General Information,TC-007,Direct,ok fine,,,,,
General / Club Information,General Information,TC-008,Initial / Direct,What single-day guest pass options?,,,,,
General / Club Information,General Information,TC-009,Direct,Whether multiple people can come at the same time?,,,,,
General / Club Information,General Information,TC-010,Initial / Direct,Can multiple family members check in at the same time?,,,,,
General / Club Information,General Information,TC-011,Direct,Any limits on how many people can use it together in family membership?,,,,,
General / Club Information,General Information,TC-012,Direct,how your to showing alert messages to club portal?,,,,,
General / Club Information,General Information,TC-013,Direct,means?,,,,,
Soccer / Football,Program Information,TC-014,Direct,Are you sure this?,,,,,
General / Club Information,General Information,TC-015,Follow-up / Specific,Who teaches it?,,,,,
General / Club Information,General Information,TC-016,Follow-up / Specific,when it started ?,,,,,
General / Club Information,General Information,TC-017,Follow-up / Specific,This is not answer what i asked? actually when since started?,,,,,
General / Club Information,General Information,TC-018,Challenge / Validation,how you dont know about detaithat?,,,,,
General / Club Information,General Information,TC-019,Follow-up / Specific,hs's age and basically he,,,,,
General / Club Information,General Information,TC-020,Challenge / Validation,are you sure?,,,,,
Fitness / Yoga,Class Information,TC-021,Direct,What kind of fitness classes do you have?,,,,,
Fitness / Yoga,Class Information,TC-022,Direct,what are the typres of yoga is conducted ?,,,,,
Fitness / Yoga,Age Requirement,TC-023,Direct,What is the age limits for yoga classes from starting age to ?,,,,,
Fitness / Yoga,Beginner Suitability,TC-024,Direct,Which yoga class do you recommend for beginners?,,,,,
Fitness / Yoga,Beginner Suitability,TC-025,Follow-up / Specific,When is the next beginner-friendly yoga class?,,,,,
Fitness / Yoga,Beginner Suitability,TC-026,Direct,Which of these beginner-friendly yoga classes would you recommend for someone with no prior experience?,,,,,
Fitness / Yoga,Beginner Suitability,TC-027,Follow-up / Specific,Are Band Strength and H.I.I.T. classes suitable for beginners?,,,,,
Fitness / Yoga,Beginner Suitability,TC-028,Follow-up / Specific,Is the Band Strength and H.I.I.T. class suitable for beginners?,,,,,
Fitness / Yoga,Beginner Suitability,TC-029,Direct,What beginner-friendly alternative would you recommend instead?,,,,,
Tennis,Pricing,TC-030,Follow-up / Specific,What are the dates and pricing for the Tennis Camp?,,,,,
Tennis,Age / Ball Type,TC-031,Direct,What is the age requirement for the Red Ball Tennis Camp?,,,,,
Tennis,Age / Ball Type,TC-032,Direct,What age group is the Red Ball Tennis Camp suitable for?,,,,,
Tennis,Age / Ball Type,TC-033,Direct,What age range is the Red Ball Tennis Camp designed for?,,,,,
Tennis,Age / Ball Type,TC-034,Direct,Can I call the club to find out the age requirements for Red Ball Tennis Camp?,,,,,
Tennis,Age / Ball Type,TC-035,Follow-up / Specific,What information can the club provide when I call about the Red Ball Tennis Camp?,,,,,
Tennis,Age / Ball Type,TC-036,Follow-up / Specific,What can I find out when I call the club about the Red Ball Tennis Camp?,,,,,
Tennis,Age / Ball Type,TC-037,Direct,Which tennis ball type is suitable for my child?,,,,,
Tennis,Age / Ball Type,TC-038,Direct,My child is 6 years old—which tennis ball type or program do you offer for that age?,,,,,
Tennis,Schedule / Duration,TC-039,Follow-up / Specific,What time is Tennis Camp on?,,,,,
Tennis,Schedule / Duration,TC-040,Direct,What days is Tennis Camp on?,,,,,
Tennis,Program Information,TC-041,Initial,I need to know about ?Tennis,,,,,
Tennis,Schedule / Duration,TC-042,Follow-up / Specific,What time is Tennis Camp on?,,,,,
Tennis,Coach / Instructor,TC-043,Direct,Do you have tennis coaching for beginners?,,,,,
Tennis,Program Information,TC-044,Follow-up / Specific,Then what maximum details you can give about tennis class?,,,,,
Swimming,Program Information,TC-045,Follow-up / Specific,What about swimming?,,,,,
Swimming,Program Information,TC-046,Follow-up / Specific,When will the next session of swimming lessons be offered?,,,,,
Swimming,Program Information,TC-047,Follow-up / Specific,Can you notify me when the next round of swimming lessons is open for registration?,,,,,
Swimming,Program Information,TC-048,Direct,Swimming,,,,,
Swimming,Waterbabies,TC-049,Direct,Waterbabies - Summer (ages 0–2)? means,,,,,
Swimming,Waterbabies,TC-050,Follow-up / Specific,when your conducting Waterbabies - Summer (ages 0–2) this any specific seasons?,,,,,
Swimming,Waterbabies,TC-051,Direct,Before your conduting this Waterbabies - Summer (ages 0–2)? you people conduct any medical checkups to the babies?,,,,,
Swimming,Waterbabies,TC-052,Direct,I am taliking about Waterbabies - Summer (ages 0–2)?,,,,,
Swimming,Program Information,TC-053,Direct,Ok tell me more about swimming for all categaries?,,,,,
Swimming,Schedule / Duration,TC-054,Challenge / Validation,why? Aqua DanceDuration: Not listed,,,,,
Swimming,Accessibility,TC-055,Initial ,Ok any diablelity have access to swimming classes?,,,,,
Swimming,Accessibility,TC-056,Follow-up / Specific,there are handles disability access for swimming?,,,,,
Swimming,Accessibility,TC-057,Direct,physically disability people can access for swimming?,,,,,
Basketball,Program Information,TC-058,Follow-up / Specific,what about Basketball?,,,,,
Basketball,Program Information,TC-059,Direct,in teature any plan to conduct basketball?,,,,,
Basketball,Schedule / Duration,TC-060,Direct,Are there any plans to add basketball to the schedule at the Dedham club?,,,,,
Basketball,Schedule / Duration,TC-061,Follow-up / Specific,When will the fall basketball schedule for Dedham Girls Basketball and TSC Kids Activities be released?,,,,,
Basketball,Schedule / Duration,TC-062,Direct,Is there a notification list I can join to receive updates about the fall basketball schedule?,,,,,
Basketball,Schedule / Duration,TC-063,Follow-up / Specific,What time is fall basketball on?,,,,,
Basketball,Pricing / Membership,TC-064,Direct,cost of basketball?,,,,,
Basketball,Program Information,TC-065,Direct,To explore other options while waiting for basketball,,,,,
Basketball,Program Information,TC-066,Challenge / Validation,Are you sure there is no basketball details?,,,,,
Basketball,Program Information,TC-067,Follow-up / Specific,but you showed this ? Programs Offered: Dedham Girls Basketball (4th & 6th grade) and TSC Kids Activities - Basketball.,,,,,
Basketball,Schedule / Duration,TC-068,Follow-up / Specific,What date will the fall basketball schedule be posted?,,,,,
Basketball,Program Information,TC-069,Follow-up / Specific,but you showed this ? Programs Offered: Dedham Girls Basketball (4th & 6th grade) and TSC Kids Activities - Basketball.?,,,,,
Basketball,Pricing / Membership,TC-070,Follow-up / Specific,but youre showing these options too whay? What time is Dedham Girls Basketball on?Where is it held?How much does it cost?,,,,,
Basketball,Program Information,TC-071,Initial,So finally Your Sportme club offering Basketball?,,,,,
Basketball,Schedule / Duration,TC-072,Follow-up / Specific,What time is Basketball League on?,,,,,
Basketball,Program Information,TC-073,Direct,any other details regarding to the basketball?,,,,,
Basketball,Program Information,TC-074,Follow-up / Specific,How many  Kids to join Basketball?,,,,,
Basketball,Schedule / Duration,TC-075,Follow-up / Specific,History about  basketball?,,,,,
