Test Case ID,Category,Subcategory,User Question,Expected Answer,Chatbot Answer,Relevance,Status,Pass and Failure Reason
TC-001,Basketball,Program Information,what about Basketball?,I received partilly detailed information based on my query.,,,,
TC-002,Basketball,Program Information,in teature any plan to conduct basketball?,I expected detailed information about basketball,,,,
TC-003,Basketball,Schedule / Duration,Are there any plans to add basketball to the schedule at the Dedham club?,I need  information that basketball programs are offered at the Dedham location.,,,,
TC-004,Basketball,Schedule / Duration,When will the fall basketball schedule for Dedham Girls Basketball and TSC Kids Activities be released?,The fall schedule will be announced soon.,,,,
TC-005,Basketball,Schedule / Duration,Is there a notification list I can join to receive updates about the fall basketball schedule?,"Yes. If a notification list is available, the member should be able to join it to receive updates when the fall basketball schedule is released. If the system does not provide a signup option, the chatbot should clearly say so and provide the appropriate contact route.",,,,
TC-006,Basketball,Schedule / Duration,What time is fall basketball on?,The fall basketball time is not yet confirmed in the available schedule. The chatbot should state that the time will be available once the fall schedule is published rather than inventing a time.,,,,
TC-007,Basketball,Pricing / Membership,cost of basketball?,"Basketball pricing depends on the specific basketball program. The chatbot should provide the listed price if available; otherwise, it should clearly state that pricing will be provided with the program schedule.",,,,
TC-008,Basketball,Program Information,To explore other options while waiting for basketball,"While waiting for basketball, other Sportime activities can be explored, such as fitness and wellness classes, swimming, tennis, martial arts, cycling, and youth programs.",,,,
TC-009,Basketball,Program Information,Are you sure there is no basketball details?,"Yes. Basketball details are available in the program information, including Dedham Girls Basketball and TSC Kids Activities - Basketball. The chatbot should distinguish between the program existing and having an upcoming scheduled session.",,,,
TC-010,Basketball,Program Information,but you showed this ? Programs Offered: Dedham Girls Basketball (4th & 6th grade) and TSC Kids Activities - Basketball.,Yes. Dedham Girls Basketball and TSC Kids Activities - Basketball are listed as Sportime programs. The chatbot should not say basketball does not exist merely because there are no current upcoming sessions.,,,,
TC-011,Basketball,Schedule / Duration,What date will the fall basketball schedule be posted?,The exact posting date for the fall basketball schedule is not available in the current information. The chatbot should say that the posting date has not been announced rather than inventing a date.,,,,
TC-012,Basketball,Program Information,but you showed this ? Programs Offered: Dedham Girls Basketball (4th & 6th grade) and TSC Kids Activities - Basketball.?,Yes. Dedham Girls Basketball and TSC Kids Activities - Basketball are listed programs. Their current availability should be described separately from whether upcoming sessions are scheduled.,,,,
TC-013,Basketball,Pricing / Membership,but youre showing these options too whay? What time is Dedham Girls Basketball on?Where is it held?How much does it cost?,"For Dedham Girls Basketball, the chatbot should provide the available schedule time, location, and price if those details are listed. If the fall schedule is not published, it should clearly say those future details are not yet available.",,,,
TC-014,Basketball,Program Information,So finally Your Sportme club offering Basketball?,"Yes. Sportime offers basketball programs, including Dedham Girls Basketball and TSC Kids Activities - Basketball. The chatbot should distinguish offered programs from currently scheduled sessions.",,,,
TC-015,Basketball,Schedule / Duration,What time is Basketball League on?,"The Basketball League schedule time should be taken from the active schedule if available. If no session is currently scheduled, the chatbot should clearly state that no upcoming time is listed.",,,,
TC-016,Basketball,Program Information,any other details regarding to the basketball?,"Basketball details include the available programs, age/grade group where applicable, schedule, location, pricing, duration, capacity, and current availability. Only information supported by the listings should be provided.",,,,
TC-017,Basketball,Program Information,How many  Kids to join Basketball?,The number of children allowed depends on the specific basketball program and its listed class capacity. The chatbot should provide the capacity when available rather than guessing.,,,,
TC-018,Basketball,Schedule / Duration,History about  basketball?,"Sportime's basketball history should be based on the program records, including the basketball programs that have run previously and their available session history.",,,,
TC-019,Soccer / Football,Program Information,Tell me about? Soccer / Football class?,"Sportime has offered soccer and football activities, including TSC Kids Activities - Soccer, Beachball Soccer, and Touch Football. Current availability should be checked separately.",,,,
TC-020,Soccer / Football,Program Information,i need more about? Soccer / Football?,"The available soccer/football programs include TSC Kids Activities - Soccer, TSC Kids Activities - Beachball Soccer, and TSC Kids Activities - Touch Football.",,,,
TC-021,Soccer / Football,Program Information,Soccer / Football?,Sportime has offered both soccer and football programs. The chatbot should clarify which program is being asked about and whether it currently has scheduled sessions.,,,,
TC-022,Boxing,Program Information,tell me about Boxing?,"Boxing is offered through Boxing 101. The chatbot should provide the available schedule, instructor, duration, and pricing details when those are listed.",,,,
TC-023,Boxing,History / Personal Details,actually when you started Boxing and next schedules and fees structure? timing details?,"The chatbot should provide Boxing 101's available history/start information, upcoming schedule, timing, and fee structure from the program listings. It should not invent dates or fees that are not listed.",,,,
TC-024,Boxing,Program Information,How much is Boxing 101?,Boxing 101 is included with the applicable membership/program access when the listing states that it is included. The chatbot should clearly distinguish membership inclusion from any separate program fees.,,,,
TC-025,Boxing,Schedule / Duration,Boxing Class durations,The Boxing 101 class duration is 30 minutes per session.,,,,
TC-026,Karate / Martial Arts,Program Information,Tell me about this Karate / Martial Arts,"Karate/Martial Arts is available through private Karate sessions. The chatbot should provide the available instructor, schedule, duration, and pricing information when listed.",,,,
TC-027,Karate / Martial Arts,Program Information,How much is the Karate class?,The Karate private lesson costs $80 for members and $100 for non-members.,,,,
TC-028,Karate / Martial Arts,Program Information,Can I bring guest visitor to the Karate / Martial Arts,Guest access for Karate/Martial Arts depends on the club's guest policy. The chatbot should state the policy if available and should not assume that a guest is automatically permitted.,,,,
TC-029,Karate / Martial Arts,Program Information,Ok tell me about more and all information Karate / Martial Arts,"Karate/Martial Arts information should include the available class/session type, schedule, instructor, duration, pricing, and membership requirements where those details are listed.",,,,
TC-030,Karate / Martial Arts,History / Personal Details,Karate / Martial Arts first started?,"The chatbot should provide the available historical information for when Karate/Martial Arts started. If an exact historical start date is not in the available data, it should say that clearly rather than inventing one.",,,,
TC-031,Karate / Martial Arts,History / Personal Details,Then answer to my quesntions about like historically when Karate / Martial Arts started and who is conducted means teaching ? i am asking specifically? but your not answering to me?,The chatbot should directly answer the specific historical and instructor questions: provide the available Karate/Martial Arts history and identify the instructor/teacher if listed.,,,,
TC-032,Karate / Martial Arts,Program Information,So you don't know about any thing to this Guy Caracciolo. and Karate / Martial Arts,Guy Caracciolo is listed as the Karate instructor. The chatbot should provide this fact and avoid claiming unsupported personal information about him.,,,,
TC-033,Karate / Martial Arts,History / Personal Details,you said karate fees is $80 ? but here your showing annual fees $20? how its possible so your giving false and nagetive infoirmations?,"The $80 Karate fee is the private lesson price for members ($100 for non-members). An annual $20 amount, if shown elsewhere, is a different fee/category and should not be presented as the Karate lesson price. The chatbot should explain the distinction rather than calling either figure false.",,,,
TC-034,Cycling,Program Information,Tell me about? Cycling,"Cycling classes are available. The chatbot should provide the relevant schedule, instructors, duration, pricing, and availability when those details are requested.",,,,
TC-035,Cycling,Schedule / Duration,cycling classes only weekdays or weekend also you re conducting ?,Cycling is offered on both weekdays and weekends when sessions are listed on those days. The chatbot should give the actual days/times from the schedule rather than only saying weekdays/weekends.,,,,
TC-036,Cycling,History / Personal Details,when started cycling started first in history?,"The chatbot should provide the available historical information about when cycling started. If the exact historical start date is not in the data, it should state that the date is unavailable.",,,,
